s1,s2,s3,s4,s5,total,obtained,percentage,grade
94,98,94,99,95,500,480,96.0,A+
90,87,81,89,88,500,435,87.0,A
97,81,88,98,98,500,462,92.4,A+
91,93,99,94,89,500,466,93.2,A+
94,95,83,88,89,500,449,89.8,A
87,83,87,96,90,500,443,88.6,A
94,94,95,99,96,500,478,95.6,A+
92,91,91,84,95,500,453,90.60000000000001,A+
88,91,91,95,86,500,451,90.2,A+
80,87,88,87,92,500,434,86.8,A
93,85,94,83,91,500,446,89.2,A
81,84,91,90,96,500,442,88.4,A
93,94,96,95,80,500,458,91.60000000000001,A+
92,85,81,86,88,500,432,86.4,A
94,88,98,84,99,500,463,92.60000000000001,A+
91,94,82,96,88,500,451,90.2,A+
98,97,82,91,94,500,462,92.4,A+
91,96,88,90,98,500,463,92.60000000000001,A+
80,97,98,80,91,500,446,89.2,A
83,89,96,89,80,500,437,87.4,A
96,84,90,81,97,500,448,89.60000000000001,A
92,80,89,98,80,500,439,87.8,A
83,83,83,81,97,500,427,85.39999999999999,A
97,82,82,88,84,500,433,86.6,A
98,93,85,97,80,500,453,90.60000000000001,A+
96,98,97,83,84,500,458,91.60000000000001,A+
88,86,92,91,84,500,441,88.2,A
87,95,88,90,88,500,448,89.60000000000001,A
91,95,85,91,81,500,443,88.6,A
89,86,95,86,83,500,439,87.8,A
87,81,87,89,90,500,434,86.8,A
82,81,83,98,90,500,434,86.8,A
89,83,92,97,89,500,450,90.0,F
81,93,90,98,91,500,453,90.60000000000001,A+
81,94,91,86,93,500,445,89.0,A
94,82,80,82,80,500,418,83.6,A
80,98,91,87,98,500,454,90.8,A+
80,89,93,96,98,500,456,91.2,A+
89,92,93,97,81,500,452,90.4,A+
85,82,85,84,92,500,428,85.6,A
92,93,91,82,94,500,452,90.4,A+
95,94,81,95,81,500,446,89.2,A
85,89,88,90,82,500,434,86.8,A
81,97,96,99,86,500,459,91.8,A+
85,89,88,80,98,500,440,88.0,A
94,95,81,80,88,500,438,87.6,A
84,83,83,90,98,500,438,87.6,A
91,87,82,95,96,500,451,90.2,A+
97,91,82,94,97,500,461,92.2,A+
89,89,93,93,98,500,462,92.4,A+
87,81,92,97,81,500,438,87.6,A
84,83,99,85,97,500,448,89.60000000000001,A
83,85,82,83,92,500,425,85.0,A
97,90,90,85,87,500,449,89.8,A
84,83,97,82,93,500,439,87.8,A
84,87,89,87,86,500,433,86.6,A
91,97,90,81,90,500,449,89.8,A
83,95,94,94,84,500,450,90.0,F
97,87,80,95,98,500,457,91.4,A+
86,97,83,95,86,500,447,89.4,A
80,97,93,82,94,500,446,89.2,A
91,94,90,87,95,500,457,91.4,A+
91,94,86,93,91,500,455,91.0,A+
99,87,90,89,80,500,445,89.0,A
80,92,95,90,93,500,450,90.0,F
84,99,99,97,97,500,476,95.19999999999999,A+
99,90,92,95,87,500,463,92.60000000000001,A+
90,96,95,97,95,500,473,94.6,A+
81,99,98,83,98,500,459,91.8,A+
87,86,92,85,97,500,447,89.4,A
85,83,87,86,92,500,433,86.6,A
85,93,88,83,94,500,443,88.6,A
90,94,84,80,94,500,442,88.4,A
83,92,83,95,99,500,452,90.4,A+
98,80,99,93,87,500,457,91.4,A+
83,88,82,99,94,500,446,89.2,A
98,90,95,90,96,500,469,93.8,A+
87,85,99,89,91,500,451,90.2,A+
96,88,96,99,92,500,471,94.19999999999999,A+
94,85,88,94,92,500,453,90.60000000000001,A+
96,88,92,86,90,500,452,90.4,A+
85,99,86,89,99,500,458,91.60000000000001,A+
99,96,88,97,92,500,472,94.39999999999999,A+
95,81,92,94,83,500,445,89.0,A
83,92,99,90,91,500,455,91.0,A+
85,89,91,82,93,500,440,88.0,A
80,96,92,82,93,500,443,88.6,A
84,96,89,94,87,500,450,90.0,F
82,97,84,80,97,500,440,88.0,A
91,82,94,81,85,500,433,86.6,A
99,90,93,81,82,500,445,89.0,A
98,99,88,84,92,500,461,92.2,A+
82,85,88,82,84,500,421,84.2,A
85,94,82,90,89,500,440,88.0,A
99,93,96,84,90,500,462,92.4,A+
98,86,99,86,89,500,458,91.60000000000001,A+
97,84,88,80,80,500,429,85.8,A
99,89,93,98,84,500,463,92.60000000000001,A+
92,96,87,97,82,500,454,90.8,A+
80,98,90,91,97,500,456,91.2,A+
97,92,86,85,95,500,455,91.0,A+
97,83,93,93,83,500,449,89.8,A
98,97,85,85,94,500,459,91.8,A+
87,94,88,91,96,500,456,91.2,A+
80,95,96,88,83,500,442,88.4,A
90,85,82,83,91,500,431,86.2,A
84,92,92,84,86,500,438,87.6,A
84,80,93,83,81,500,421,84.2,A
81,92,90,86,90,500,439,87.8,A
99,86,89,85,95,500,454,90.8,A+
87,89,95,97,94,500,462,92.4,A+
90,88,96,93,82,500,449,89.8,A
91,84,99,86,90,500,450,90.0,F
80,90,87,83,87,500,427,85.39999999999999,A
99,82,83,92,90,500,446,89.2,A
88,88,99,89,85,500,449,89.8,A
97,97,85,82,94,500,455,91.0,A+
88,89,94,91,83,500,445,89.0,A
94,82,81,84,95,500,436,87.2,A
98,98,92,97,97,500,482,96.39999999999999,A+
94,97,99,84,86,500,460,92.0,A+
96,92,84,99,92,500,463,92.60000000000001,A+
93,91,81,92,81,500,438,87.6,A
86,97,97,81,94,500,455,91.0,A+
90,97,98,89,93,500,467,93.4,A+
93,84,82,82,84,500,425,85.0,A
84,95,82,90,97,500,448,89.60000000000001,A
82,98,85,91,89,500,445,89.0,A
90,99,94,87,92,500,462,92.4,A+
97,89,83,88,88,500,445,89.0,A
97,94,98,80,98,500,467,93.4,A+
97,86,88,80,87,500,438,87.6,A
86,82,99,81,97,500,445,89.0,A
95,90,90,93,98,500,466,93.2,A+
83,86,97,82,93,500,441,88.2,A
92,80,90,92,86,500,440,88.0,A
89,85,84,85,89,500,432,86.4,A
83,86,82,83,93,500,427,85.39999999999999,A
83,96,86,87,94,500,446,89.2,A
90,96,98,94,91,500,469,93.8,A+
96,97,92,80,89,500,454,90.8,A+
96,97,91,94,95,500,473,94.6,A+
93,88,83,80,92,500,436,87.2,A
91,82,90,84,89,500,436,87.2,A
87,81,88,82,87,500,425,85.0,A
96,97,94,92,94,500,473,94.6,A+
93,85,87,82,85,500,432,86.4,A
99,91,86,96,83,500,455,91.0,A+
81,80,89,95,83,500,428,85.6,A
98,83,83,88,96,500,448,89.60000000000001,A
84,90,94,85,93,500,446,89.2,A
91,92,84,80,95,500,442,88.4,A
99,87,97,96,86,500,465,93.0,A+
93,89,93,91,95,500,461,92.2,A+
89,98,86,98,96,500,467,93.4,A+
95,95,96,99,85,500,470,94.0,A+
85,84,86,96,80,500,431,86.2,A
85,97,84,93,91,500,450,90.0,F
95,99,81,99,93,500,467,93.4,A+
92,87,83,95,83,500,440,88.0,A
88,82,93,91,83,500,437,87.4,A
95,89,96,91,93,500,464,92.80000000000001,A+
96,82,82,82,81,500,423,84.6,A
85,97,97,94,82,500,455,91.0,A+
96,84,82,97,94,500,453,90.60000000000001,A+
80,86,93,85,96,500,440,88.0,A
97,99,94,87,80,500,457,91.4,A+
92,93,89,80,85,500,439,87.8,A
92,83,83,80,88,500,426,85.2,A
82,88,98,98,86,500,452,90.4,A+
92,83,85,89,93,500,442,88.4,A
94,94,80,98,85,500,451,90.2,A+
92,84,92,83,96,500,447,89.4,A
85,84,86,83,83,500,421,84.2,A
88,97,93,87,86,500,451,90.2,A+
89,97,86,87,90,500,449,89.8,A
91,82,82,90,91,500,436,87.2,A
82,83,92,95,96,500,448,89.60000000000001,A
93,92,87,82,84,500,438,87.6,A
84,85,94,85,92,500,440,88.0,A
82,85,88,80,80,500,415,83.0,A
89,97,90,99,97,500,472,94.39999999999999,A+
87,80,98,98,93,500,456,91.2,A+
83,93,95,96,87,500,454,90.8,A+
86,84,87,86,80,500,423,84.6,A
83,98,96,82,90,500,449,89.8,A
99,97,81,89,83,500,449,89.8,A
91,81,91,81,87,500,431,86.2,A
81,98,88,92,90,500,449,89.8,A
94,86,87,80,88,500,435,87.0,A
88,95,82,80,94,500,439,87.8,A
84,95,91,82,94,500,446,89.2,A
86,88,94,80,96,500,444,88.8,A
84,92,97,81,90,500,444,88.8,A
94,84,87,93,99,500,457,91.4,A+
80,82,94,91,93,500,440,88.0,A
81,96,85,99,93,500,454,90.8,A+
80,93,82,91,82,500,428,85.6,A
87,98,83,96,84,500,448,89.60000000000001,A
88,88,92,87,96,500,451,90.2,A+
92,94,83,83,96,500,448,89.60000000000001,A
95,96,99,95,82,500,467,93.4,A+
82,95,91,87,82,500,437,87.4,A
88,85,96,91,85,500,445,89.0,A
90,97,97,84,99,500,467,93.4,A+
87,86,98,80,93,500,444,88.8,A
89,92,82,89,96,500,448,89.60000000000001,A
92,91,86,82,86,500,437,87.4,A
96,88,83,99,84,500,450,90.0,F
87,82,98,95,84,500,446,89.2,A
87,81,92,89,82,500,431,86.2,A
80,98,87,82,89,500,436,87.2,A
83,94,89,87,82,500,435,87.0,A
89,90,99,89,89,500,456,91.2,A+
98,98,88,80,92,500,456,91.2,A+
87,91,83,87,86,500,434,86.8,A
96,83,90,98,84,500,451,90.2,A+
87,95,84,83,85,500,434,86.8,A
85,95,98,94,86,500,458,91.60000000000001,A+
85,91,92,95,93,500,456,91.2,A+
96,95,80,83,87,500,441,88.2,A
90,86,98,94,84,500,452,90.4,A+
80,80,99,97,87,500,443,88.6,A
80,83,87,99,81,500,430,86.0,A
99,97,97,93,86,500,472,94.39999999999999,A+
83,95,94,96,87,500,455,91.0,A+
98,85,84,89,86,500,442,88.4,A
95,88,94,82,97,500,456,91.2,A+
83,94,94,91,90,500,452,90.4,A+
88,80,87,87,85,500,427,85.39999999999999,A
93,83,84,82,82,500,424,84.8,A
81,87,95,94,88,500,445,89.0,A
93,98,85,98,94,500,468,93.60000000000001,A+
99,80,96,98,83,500,456,91.2,A+
98,83,80,90,84,500,435,87.0,A
93,94,96,82,92,500,457,91.4,A+
90,86,99,92,86,500,453,90.60000000000001,A+
92,93,93,98,97,500,473,94.6,A+
97,97,99,96,95,500,484,96.8,A+
82,93,93,87,97,500,452,90.4,A+
95,80,88,92,96,500,451,90.2,A+
81,94,88,96,86,500,445,89.0,A
84,83,81,96,81,500,425,85.0,A
93,83,86,82,90,500,434,86.8,A
86,91,86,81,98,500,442,88.4,A
95,87,99,89,84,500,454,90.8,A+
87,97,84,99,88,500,455,91.0,A+
83,86,98,92,92,500,451,90.2,A+
86,80,99,94,85,500,444,88.8,A
96,84,98,91,81,500,450,90.0,F
80,88,90,95,84,500,437,87.4,A
89,83,98,89,90,500,449,89.8,A
84,96,88,97,80,500,445,89.0,A
84,93,92,93,92,500,454,90.8,A+
87,99,99,87,91,500,463,92.60000000000001,A+
97,99,85,81,93,500,455,91.0,A+
85,88,87,80,82,500,422,84.39999999999999,A
90,86,92,93,87,500,448,89.60000000000001,A
87,89,92,98,83,500,449,89.8,A
83,92,93,97,90,500,455,91.0,A+
80,86,96,93,94,500,449,89.8,A
87,95,83,87,85,500,437,87.4,A
81,96,88,88,84,500,437,87.4,A
99,93,83,88,94,500,457,91.4,A+
98,98,99,88,99,500,482,96.39999999999999,A+
96,87,84,94,99,500,460,92.0,A+
98,88,90,91,80,500,447,89.4,A
88,88,94,97,90,500,457,91.4,A+
82,91,92,86,82,500,433,86.6,A
94,88,87,81,84,500,434,86.8,A
97,93,88,87,90,500,455,91.0,A+
99,91,83,93,80,500,446,89.2,A
84,83,89,92,94,500,442,88.4,A
88,91,97,88,81,500,445,89.0,A
97,94,84,98,96,500,469,93.8,A+
91,85,81,82,91,500,430,86.0,A
95,83,82,91,93,500,444,88.8,A
92,83,89,98,95,500,457,91.4,A+
88,81,98,80,84,500,431,86.2,A
89,87,87,97,98,500,458,91.60000000000001,A+
82,91,99,93,82,500,447,89.4,A
82,84,84,82,84,500,416,83.2,A
90,98,99,99,82,500,468,93.60000000000001,A+
90,82,84,98,93,500,447,89.4,A
94,98,84,98,80,500,454,90.8,A+
92,81,82,88,99,500,442,88.4,A
85,88,92,90,91,500,446,89.2,A
96,87,89,97,93,500,462,92.4,A+
90,82,87,87,99,500,445,89.0,A
99,92,87,98,98,500,474,94.8,A+
82,83,99,93,82,500,439,87.8,A
82,96,80,85,94,500,437,87.4,A
99,95,82,82,96,500,454,90.8,A+
98,89,90,99,89,500,465,93.0,A+
99,97,85,96,93,500,470,94.0,A+
89,87,83,81,81,500,421,84.2,A
84,83,80,92,98,500,437,87.4,A
90,96,80,88,98,500,452,90.4,A+
90,95,96,98,94,500,473,94.6,A+
90,85,97,86,92,500,450,90.0,F
82,92,81,82,83,500,420,84.0,A
94,90,80,89,82,500,435,87.0,A
98,94,96,82,84,500,454,90.8,A+
82,94,96,93,85,500,450,90.0,F
93,83,95,86,80,500,437,87.4,A
89,90,96,95,93,500,463,92.60000000000001,A+
99,83,86,92,94,500,454,90.8,A+
92,96,85,99,96,500,468,93.60000000000001,A+
81,81,89,95,84,500,430,86.0,A
98,94,88,91,88,500,459,91.8,A+
84,89,81,90,96,500,440,88.0,A
99,90,81,83,85,500,438,87.6,A
90,97,99,83,94,500,463,92.60000000000001,A+
97,81,90,85,97,500,450,90.0,F
88,99,89,99,99,500,474,94.8,A+
86,82,82,81,98,500,429,85.8,A
81,82,98,98,98,500,457,91.4,A+
89,92,97,81,93,500,452,90.4,A+
92,97,87,84,84,500,444,88.8,A
95,95,99,93,88,500,470,94.0,A+
85,80,86,87,81,500,419,83.8,A
83,88,86,86,98,500,441,88.2,A
87,95,81,96,90,500,449,89.8,A
92,99,89,90,91,500,461,92.2,A+
97,94,97,93,89,500,470,94.0,A+
89,83,88,99,90,500,449,89.8,A
93,97,87,81,94,500,452,90.4,A+
99,84,95,86,91,500,455,91.0,A+
81,87,97,89,96,500,450,90.0,F
89,92,89,90,92,500,452,90.4,A+
83,88,95,86,83,500,435,87.0,A
88,96,89,96,87,500,456,91.2,A+
92,88,80,80,80,500,420,84.0,A
84,92,82,99,89,500,446,89.2,A
81,96,80,98,93,500,448,89.60000000000001,A
95,91,96,90,89,500,461,92.2,A+
99,85,91,86,92,500,453,90.60000000000001,A+
88,91,99,89,80,500,447,89.4,A
97,80,95,95,88,500,455,91.0,A+
82,99,96,89,97,500,463,92.60000000000001,A+
87,87,91,83,99,500,447,89.4,A
87,80,98,96,93,500,454,90.8,A+
85,84,96,89,90,500,444,88.8,A
96,81,95,95,83,500,450,90.0,F
87,86,91,94,88,500,446,89.2,A
98,98,90,98,99,500,483,96.6,A+
84,80,99,95,82,500,440,88.0,A
90,98,80,89,95,500,452,90.4,A+
99,89,99,93,81,500,461,92.2,A+
93,89,92,83,84,500,441,88.2,A
87,87,91,94,86,500,445,89.0,A
91,89,89,93,85,500,447,89.4,A
98,91,94,89,94,500,466,93.2,A+
95,87,86,82,87,500,437,87.4,A
96,81,81,97,82,500,437,87.4,A
95,81,89,94,99,500,458,91.60000000000001,A+
90,82,96,94,88,500,450,90.0,F
82,97,97,98,80,500,454,90.8,A+
99,83,96,93,83,500,454,90.8,A+
84,90,91,85,87,500,437,87.4,A
99,85,83,94,87,500,448,89.60000000000001,A
99,96,82,92,91,500,460,92.0,A+
96,95,93,82,87,500,453,90.60000000000001,A+
92,86,84,81,81,500,424,84.8,A
90,94,85,86,92,500,447,89.4,A
91,84,97,90,80,500,442,88.4,A
93,95,92,94,92,500,466,93.2,A+
85,95,95,80,98,500,453,90.60000000000001,A+
82,87,95,92,89,500,445,89.0,A
95,98,80,89,87,500,449,89.8,A
88,88,81,80,86,500,423,84.6,A
84,80,86,94,85,500,429,85.8,A
80,81,94,81,99,500,435,87.0,A
89,84,92,81,94,500,440,88.0,A
92,81,96,88,92,500,449,89.8,A
96,81,96,90,88,500,451,90.2,A+
87,98,81,97,90,500,453,90.60000000000001,A+
84,99,96,90,81,500,450,90.0,F
88,89,80,80,86,500,423,84.6,A
82,94,87,99,94,500,456,91.2,A+
85,88,89,86,96,500,444,88.8,A
83,91,97,85,87,500,443,88.6,A
91,95,91,84,81,500,442,88.4,A
95,89,97,97,91,500,469,93.8,A+
86,91,80,85,83,500,425,85.0,A
93,97,95,96,95,500,476,95.19999999999999,A+
92,81,80,88,94,500,435,87.0,A
94,97,93,94,88,500,466,93.2,A+
90,90,83,82,81,500,426,85.2,A
99,92,95,88,87,500,461,92.2,A+
97,96,95,96,86,500,470,94.0,A+
82,91,82,96,89,500,440,88.0,A
92,91,89,88,80,500,440,88.0,A
82,94,94,85,99,500,454,90.8,A+
92,83,82,84,83,500,424,84.8,A
97,97,84,87,89,500,454,90.8,A+
80,89,83,84,88,500,424,84.8,A
94,87,80,98,80,500,439,87.8,A
88,86,87,89,92,500,442,88.4,A
88,87,91,84,88,500,438,87.6,A
97,89,96,84,98,500,464,92.80000000000001,A+
95,96,95,95,98,500,479,95.8,A+
87,82,89,97,90,500,445,89.0,A
82,87,83,89,91,500,432,86.4,A
97,80,82,94,97,500,450,90.0,F
81,81,97,84,87,500,430,86.0,A
80,97,90,94,99,500,460,92.0,A+
99,95,82,91,83,500,450,90.0,F
80,86,81,88,80,500,415,83.0,A
90,84,92,91,84,500,441,88.2,A
98,83,86,83,81,500,431,86.2,A
93,92,96,93,84,500,458,91.60000000000001,A+
98,90,94,91,92,500,465,93.0,A+
97,97,93,85,83,500,455,91.0,A+
97,99,94,84,83,500,457,91.4,A+
83,81,87,86,82,500,419,83.8,A
89,80,87,96,88,500,440,88.0,A
83,81,84,89,89,500,426,85.2,A
96,81,80,97,82,500,436,87.2,A
80,83,97,85,98,500,443,88.6,A
81,89,95,88,85,500,438,87.6,A
87,92,80,99,87,500,445,89.0,A
82,89,83,90,83,500,427,85.39999999999999,A
96,91,92,82,92,500,453,90.60000000000001,A+
85,88,89,91,96,500,449,89.8,A
81,94,94,92,94,500,455,91.0,A+
88,84,86,93,96,500,447,89.4,A
96,99,89,86,83,500,453,90.60000000000001,A+
86,80,85,82,82,500,415,83.0,A
88,81,90,84,85,500,428,85.6,A
82,85,96,88,86,500,437,87.4,A
84,98,81,85,80,500,428,85.6,A
85,89,94,91,89,500,448,89.60000000000001,A
98,93,99,82,95,500,467,93.4,A+
89,89,92,88,93,500,451,90.2,A+
88,90,97,83,97,500,455,91.0,A+
87,98,94,80,84,500,443,88.6,A
90,80,96,92,85,500,443,88.6,A
83,81,81,81,91,500,417,83.39999999999999,A
91,84,87,95,94,500,451,90.2,A+
90,90,92,82,85,500,439,87.8,A
99,80,96,88,97,500,460,92.0,A+
81,90,92,99,95,500,457,91.4,A+
90,92,85,83,92,500,442,88.4,A
96,80,96,88,91,500,451,90.2,A+
86,81,95,90,85,500,437,87.4,A
86,94,99,81,95,500,455,91.0,A+
86,83,93,93,87,500,442,88.4,A
94,90,92,81,99,500,456,91.2,A+
93,95,80,83,99,500,450,90.0,F
87,87,83,86,94,500,437,87.4,A
82,95,94,86,83,500,440,88.0,A
91,96,98,88,91,500,464,92.80000000000001,A+
96,80,81,83,94,500,434,86.8,A
96,85,86,86,99,500,452,90.4,A+
99,93,82,95,85,500,454,90.8,A+
94,82,85,99,84,500,444,88.8,A
93,91,87,96,80,500,447,89.4,A
83,93,82,82,84,500,424,84.8,A
93,85,93,97,90,500,458,91.60000000000001,A+
98,83,90,91,80,500,442,88.4,A
98,98,98,97,83,500,474,94.8,A+
80,83,87,90,83,500,423,84.6,A
98,91,98,98,85,500,470,94.0,A+
83,90,81,89,80,500,423,84.6,A
86,92,82,80,87,500,427,85.39999999999999,A
97,92,83,95,80,500,447,89.4,A
94,85,91,86,93,500,449,89.8,A
94,80,80,93,97,500,444,88.8,A
95,98,81,86,87,500,447,89.4,A
96,88,91,85,95,500,455,91.0,A+
89,81,90,80,88,500,428,85.6,A
86,93,88,90,91,500,448,89.60000000000001,A
93,91,92,93,81,500,450,90.0,F
96,84,89,87,88,500,444,88.8,A
94,97,90,81,96,500,458,91.60000000000001,A+
82,83,86,92,98,500,441,88.2,A
95,81,92,90,99,500,457,91.4,A+
98,96,93,85,81,500,453,90.60000000000001,A+
85,82,91,93,86,500,437,87.4,A
92,81,93,80,88,500,434,86.8,A
85,87,82,97,93,500,444,88.8,A
85,98,83,99,94,500,459,91.8,A+
87,89,82,81,98,500,437,87.4,A
99,95,91,88,92,500,465,93.0,A+
90,82,81,82,90,500,425,85.0,A
84,98,89,89,90,500,450,90.0,F
90,92,93,98,82,500,455,91.0,A+
91,95,99,88,83,500,456,91.2,A+
84,87,87,88,97,500,443,88.6,A
96,97,93,80,83,500,449,89.8,A
97,96,90,98,96,500,477,95.39999999999999,A+
95,92,87,84,85,500,443,88.6,A
83,85,97,92,86,500,443,88.6,A
88,90,95,80,82,500,435,87.0,A
93,97,81,93,82,500,446,89.2,A
90,90,94,88,91,500,453,90.60000000000001,A+
93,96,97,81,83,500,450,90.0,F
84,80,96,94,90,500,444,88.8,A
80,98,83,88,86,500,435,87.0,A
92,87,96,97,98,500,470,94.0,A+
83,91,89,85,88,500,436,87.2,A
92,96,89,87,90,500,454,90.8,A+
83,85,90,99,89,500,446,89.2,A
96,90,96,83,90,500,455,91.0,A+
81,93,95,81,83,500,433,86.6,A
96,98,94,97,88,500,473,94.6,A+
93,86,95,93,80,500,447,89.4,A
91,94,98,89,98,500,470,94.0,A+
96,90,86,80,88,500,440,88.0,A
89,81,84,82,97,500,433,86.6,A
80,90,81,87,80,500,418,83.6,A
94,96,81,81,86,500,438,87.6,A
86,99,94,95,82,500,456,91.2,A+
95,84,90,94,91,500,454,90.8,A+
95,99,96,84,94,500,468,93.60000000000001,A+
91,86,94,92,98,500,461,92.2,A+
84,90,91,81,91,500,437,87.4,A
86,96,95,81,94,500,452,90.4,A+
81,93,92,83,99,500,448,89.60000000000001,A
95,91,89,83,82,500,440,88.0,A
80,93,95,93,85,500,446,89.2,A
80,90,97,89,95,500,451,90.2,A+
82,97,91,92,85,500,447,89.4,A
91,88,94,99,97,500,469,93.8,A+
98,81,83,93,97,500,452,90.4,A+
87,84,95,90,83,500,439,87.8,A
91,91,96,88,95,500,461,92.2,A+
97,92,80,91,85,500,445,89.0,A
80,90,89,80,87,500,426,85.2,A
89,93,85,85,80,500,432,86.4,A
82,94,99,85,95,500,455,91.0,A+
84,81,87,93,98,500,443,88.6,A
89,97,87,87,96,500,456,91.2,A+
87,81,85,89,80,500,422,84.39999999999999,A
96,90,91,97,82,500,456,91.2,A+
89,84,90,88,97,500,448,89.60000000000001,A
93,94,90,90,96,500,463,92.60000000000001,A+
82,87,94,85,96,500,444,88.8,A
87,85,99,83,83,500,437,87.4,A
88,93,92,82,93,500,448,89.60000000000001,A
90,87,80,92,81,500,430,86.0,A
97,84,87,81,85,500,434,86.8,A
90,80,81,88,89,500,428,85.6,A
87,83,96,82,96,500,444,88.8,A
82,96,98,89,87,500,452,90.4,A+
87,81,99,89,98,500,454,90.8,A+
