s1,s2,s3,s4,s5,marks obtained,marks_obtained,total
86,91,86,81,98,442,442,500
95,87,99,89,84,454,454,500
87,97,84,99,88,455,455,500
83,86,98,92,92,451,451,500
86,80,99,94,85,444,444,500
96,84,98,91,81,450,450,500
80,88,90,95,84,437,437,500
89,83,98,89,90,449,449,500
84,96,88,97,80,445,445,500
84,93,92,93,92,454,454,500
87,99,99,87,91,463,463,500
97,99,85,81,93,455,455,500
85,88,87,80,82,422,422,500
90,86,92,93,87,448,448,500
87,89,92,98,83,449,449,500
83,92,93,97,90,455,455,500
80,86,96,93,94,449,449,500
87,95,83,87,85,437,437,500
81,96,88,88,84,437,437,500
99,93,83,88,94,457,457,500
98,98,99,88,99,482,482,500
96,87,84,94,99,460,460,500
98,88,90,91,80,447,447,500
88,88,94,97,90,457,457,500
82,91,92,86,82,433,433,500
94,88,87,81,84,434,434,500
97,93,88,87,90,455,455,500
99,91,83,93,80,446,446,500
84,83,89,92,94,442,442,500
88,91,97,88,81,445,445,500
97,94,84,98,96,469,469,500
91,85,81,82,91,430,430,500
95,83,82,91,93,444,444,500
92,83,89,98,95,457,457,500
88,81,98,80,84,431,431,500
89,87,87,97,98,458,458,500
82,91,99,93,82,447,447,500
82,84,84,82,84,416,416,500
90,98,99,99,82,468,468,500
90,82,84,98,93,447,447,500
94,98,84,98,80,454,454,500
92,81,82,88,99,442,442,500
85,88,92,90,91,446,446,500
96,87,89,97,93,462,462,500
90,82,87,87,99,445,445,500
99,92,87,98,98,474,474,500
82,83,99,93,82,439,439,500
82,96,80,85,94,437,437,500
99,95,82,82,96,454,454,500
98,89,90,99,89,465,465,500
99,97,85,96,93,470,470,500
89,87,83,81,81,421,421,500
84,83,80,92,98,437,437,500
90,96,80,88,98,452,452,500
90,95,96,98,94,473,473,500
90,85,97,86,92,450,450,500
82,92,81,82,83,420,420,500
94,90,80,89,82,435,435,500
98,94,96,82,84,454,454,500
82,94,96,93,85,450,450,500
93,83,95,86,80,437,437,500
89,90,96,95,93,463,463,500
99,83,86,92,94,454,454,500
92,96,85,99,96,468,468,500
81,81,89,95,84,430,430,500
98,94,88,91,88,459,459,500
84,89,81,90,96,440,440,500
99,90,81,83,85,438,438,500
90,97,99,83,94,463,463,500
97,81,90,85,97,450,450,500
88,99,89,99,99,474,474,500
86,82,82,81,98,429,429,500
81,82,98,98,98,457,457,500
89,92,97,81,93,452,452,500
92,97,87,84,84,444,444,500
95,95,99,93,88,470,470,500
85,80,86,87,81,419,419,500
83,88,86,86,98,441,441,500
87,95,81,96,90,449,449,500
92,99,89,90,91,461,461,500
97,94,97,93,89,470,470,500
89,83,88,99,90,449,449,500
93,97,87,81,94,452,452,500
99,84,95,86,91,455,455,500
81,87,97,89,96,450,450,500
89,92,89,90,92,452,452,500
83,88,95,86,83,435,435,500
88,96,89,96,87,456,456,500
92,88,80,80,80,420,420,500
84,92,82,99,89,446,446,500
81,96,80,98,93,448,448,500
95,91,96,90,89,461,461,500
99,85,91,86,92,453,453,500
88,91,99,89,80,447,447,500
97,80,95,95,88,455,455,500
82,99,96,89,97,463,463,500
87,87,91,83,99,447,447,500
87,80,98,96,93,454,454,500
85,84,96,89,90,444,444,500
96,81,95,95,83,450,450,500
87,86,91,94,88,446,446,500
98,98,90,98,99,483,483,500
84,80,99,95,82,440,440,500
90,98,80,89,95,452,452,500
99,89,99,93,81,461,461,500
93,89,92,83,84,441,441,500
87,87,91,94,86,445,445,500
91,89,89,93,85,447,447,500
98,91,94,89,94,466,466,500
95,87,86,82,87,437,437,500
96,81,81,97,82,437,437,500
95,81,89,94,99,458,458,500
90,82,96,94,88,450,450,500
82,97,97,98,80,454,454,500
99,83,96,93,83,454,454,500
84,90,91,85,87,437,437,500
99,85,83,94,87,448,448,500
99,96,82,92,91,460,460,500
96,95,93,82,87,453,453,500
92,86,84,81,81,424,424,500
90,94,85,86,92,447,447,500
91,84,97,90,80,442,442,500
93,95,92,94,92,466,466,500
85,95,95,80,98,453,453,500
82,87,95,92,89,445,445,500
95,98,80,89,87,449,449,500
88,88,81,80,86,423,423,500
84,80,86,94,85,429,429,500
80,81,94,81,99,435,435,500
89,84,92,81,94,440,440,500
92,81,96,88,92,449,449,500
96,81,96,90,88,451,451,500
87,98,81,97,90,453,453,500
84,99,96,90,81,450,450,500
88,89,80,80,86,423,423,500
82,94,87,99,94,456,456,500
85,88,89,86,96,444,444,500
83,91,97,85,87,443,443,500
91,95,91,84,81,442,442,500
95,89,97,97,91,469,469,500
86,91,80,85,83,425,425,500
93,97,95,96,95,476,476,500
92,81,80,88,94,435,435,500
94,97,93,94,88,466,466,500
90,90,83,82,81,426,426,500
99,92,95,88,87,461,461,500
97,96,95,96,86,470,470,500
82,91,82,96,89,440,440,500
92,91,89,88,80,440,440,500
82,94,94,85,99,454,454,500
92,83,82,84,83,424,424,500
97,97,84,87,89,454,454,500
80,89,83,84,88,424,424,500
94,87,80,98,80,439,439,500
88,86,87,89,92,442,442,500
88,87,91,84,88,438,438,500
97,89,96,84,98,464,464,500
95,96,95,95,98,479,479,500
87,82,89,97,90,445,445,500
82,87,83,89,91,432,432,500
97,80,82,94,97,450,450,500
81,81,97,84,87,430,430,500
80,97,90,94,99,460,460,500
99,95,82,91,83,450,450,500
80,86,81,88,80,415,415,500
90,84,92,91,84,441,441,500
98,83,86,83,81,431,431,500
93,92,96,93,84,458,458,500
98,90,94,91,92,465,465,500
97,97,93,85,83,455,455,500
97,99,94,84,83,457,457,500
83,81,87,86,82,419,419,500
89,80,87,96,88,440,440,500
83,81,84,89,89,426,426,500
96,81,80,97,82,436,436,500
80,83,97,85,98,443,443,500
81,89,95,88,85,438,438,500
87,92,80,99,87,445,445,500
82,89,83,90,83,427,427,500
96,91,92,82,92,453,453,500
85,88,89,91,96,449,449,500
81,94,94,92,94,455,455,500
88,84,86,93,96,447,447,500
96,99,89,86,83,453,453,500
86,80,85,82,82,415,415,500
88,81,90,84,85,428,428,500
82,85,96,88,86,437,437,500
84,98,81,85,80,428,428,500
85,89,94,91,89,448,448,500
98,93,99,82,95,467,467,500
89,89,92,88,93,451,451,500
88,90,97,83,97,455,455,500
87,98,94,80,84,443,443,500
90,80,96,92,85,443,443,500
83,81,81,81,91,417,417,500
91,84,87,95,94,451,451,500
90,90,92,82,85,439,439,500
99,80,96,88,97,460,460,500
81,90,92,99,95,457,457,500
90,92,85,83,92,442,442,500
96,80,96,88,91,451,451,500
86,81,95,90,85,437,437,500
86,94,99,81,95,455,455,500
86,83,93,93,87,442,442,500
94,90,92,81,99,456,456,500
93,95,80,83,99,450,450,500
87,87,83,86,94,437,437,500
82,95,94,86,83,440,440,500
91,96,98,88,91,464,464,500
96,80,81,83,94,434,434,500
96,85,86,86,99,452,452,500
99,93,82,95,85,454,454,500
94,82,85,99,84,444,444,500
93,91,87,96,80,447,447,500
83,93,82,82,84,424,424,500
93,85,93,97,90,458,458,500
98,83,90,91,80,442,442,500
98,98,98,97,83,474,474,500
80,83,87,90,83,423,423,500
98,91,98,98,85,470,470,500
83,90,81,89,80,423,423,500
86,92,82,80,87,427,427,500
97,92,83,95,80,447,447,500
94,85,91,86,93,449,449,500
94,80,80,93,97,444,444,500
95,98,81,86,87,447,447,500
96,88,91,85,95,455,455,500
89,81,90,80,88,428,428,500
86,93,88,90,91,448,448,500
93,91,92,93,81,450,450,500
96,84,89,87,88,444,444,500
94,97,90,81,96,458,458,500
82,83,86,92,98,441,441,500
95,81,92,90,99,457,457,500
98,96,93,85,81,453,453,500
85,82,91,93,86,437,437,500
92,81,93,80,88,434,434,500
85,87,82,97,93,444,444,500
85,98,83,99,94,459,459,500
87,89,82,81,98,437,437,500
99,95,91,88,92,465,465,500
90,82,81,82,90,425,425,500
84,98,89,89,90,450,450,500
90,92,93,98,82,455,455,500
91,95,99,88,83,456,456,500
84,87,87,88,97,443,443,500
96,97,93,80,83,449,449,500
97,96,90,98,96,477,477,500
95,92,87,84,85,443,443,500
83,85,97,92,86,443,443,500
88,90,95,80,82,435,435,500
93,97,81,93,82,446,446,500
90,90,94,88,91,453,453,500
93,96,97,81,83,450,450,500
84,80,96,94,90,444,444,500
80,98,83,88,86,435,435,500
92,87,96,97,98,470,470,500
83,91,89,85,88,436,436,500
92,96,89,87,90,454,454,500
83,85,90,99,89,446,446,500
96,90,96,83,90,455,455,500
81,93,95,81,83,433,433,500
96,98,94,97,88,473,473,500
93,86,95,93,80,447,447,500
91,94,98,89,98,470,470,500
96,90,86,80,88,440,440,500
89,81,84,82,97,433,433,500
80,90,81,87,80,418,418,500
94,96,81,81,86,438,438,500
86,99,94,95,82,456,456,500
95,84,90,94,91,454,454,500
95,99,96,84,94,468,468,500
91,86,94,92,98,461,461,500
84,90,91,81,91,437,437,500
86,96,95,81,94,452,452,500
81,93,92,83,99,448,448,500
95,91,89,83,82,440,440,500
80,93,95,93,85,446,446,500
80,90,97,89,95,451,451,500
82,97,91,92,85,447,447,500
91,88,94,99,97,469,469,500
98,81,83,93,97,452,452,500
87,84,95,90,83,439,439,500
91,91,96,88,95,461,461,500
97,92,80,91,85,445,445,500
80,90,89,80,87,426,426,500
89,93,85,85,80,432,432,500
82,94,99,85,95,455,455,500
84,81,87,93,98,443,443,500
89,97,87,87,96,456,456,500
87,81,85,89,80,422,422,500
96,90,91,97,82,456,456,500
89,84,90,88,97,448,448,500
93,94,90,90,96,463,463,500
82,87,94,85,96,444,444,500
87,85,99,83,83,437,437,500
88,93,92,82,93,448,448,500
90,87,80,92,81,430,430,500
97,84,87,81,85,434,434,500
90,80,81,88,89,428,428,500
87,83,96,82,96,444,444,500
82,96,98,89,87,452,452,500
87,81,99,89,98,454,454,500
83,95,94,95,92,459,459,500
89,85,87,90,94,445,445,500
95,83,99,91,87,455,455,500
99,86,85,85,88,443,443,500
92,88,90,98,82,450,450,500
82,99,99,81,92,453,453,500
93,85,99,84,85,446,446,500
88,82,84,95,86,435,435,500
82,96,84,97,81,440,440,500
91,86,86,91,93,447,447,500
81,90,98,91,84,444,444,500
84,95,86,89,86,440,440,500
86,87,98,98,84,453,453,500
89,92,89,90,80,440,440,500
80,88,99,86,83,436,436,500
86,94,81,81,91,433,433,500
90,88,89,81,96,444,444,500
86,97,92,95,93,463,463,500
94,92,80,86,82,434,434,500
95,85,83,89,95,447,447,500
81,81,82,92,84,420,420,500
82,84,93,96,86,441,441,500
81,95,80,87,90,433,433,500
90,83,83,82,87,425,425,500
89,84,90,92,80,435,435,500
95,97,81,94,84,451,451,500
85,86,98,93,89,451,451,500
94,88,90,89,85,446,446,500
80,81,94,90,82,427,427,500
90,93,83,94,82,442,442,500
81,81,98,98,80,438,438,500
88,89,89,81,85,432,432,500
84,95,82,80,89,430,430,500
97,92,95,93,80,457,457,500
83,92,90,81,99,445,445,500
89,81,93,85,97,445,445,500
80,89,93,90,82,434,434,500
81,89,85,98,88,441,441,500
86,95,87,97,97,462,462,500
92,88,90,83,96,449,449,500
94,86,96,98,98,472,472,500
98,91,83,96,98,466,466,500
88,82,90,99,82,441,441,500
87,92,94,80,88,441,441,500
82,89,85,97,87,440,440,500
90,99,80,82,95,446,446,500
90,89,87,86,83,435,435,500
84,94,85,83,81,427,427,500
90,87,91,82,91,441,441,500
81,80,88,88,92,429,429,500
94,99,95,81,85,454,454,500
80,81,81,82,96,420,420,500
96,81,93,92,91,453,453,500
88,95,81,86,87,437,437,500
91,87,96,86,92,452,452,500
85,80,83,82,90,420,420,500
84,82,85,95,91,437,437,500
87,84,84,97,83,435,435,500
96,80,91,87,83,437,437,500
91,85,80,98,86,440,440,500
97,89,93,95,85,459,459,500
86,84,87,96,88,441,441,500
93,81,82,95,95,446,446,500
93,80,88,96,90,447,447,500
91,84,86,89,85,435,435,500
89,90,82,96,90,447,447,500
90,88,89,92,88,447,447,500
82,98,88,80,85,433,433,500
89,97,99,89,87,461,461,500
98,95,82,83,95,453,453,500
97,83,93,81,92,446,446,500
91,87,82,98,87,445,445,500
95,96,84,97,85,457,457,500
86,93,96,91,81,447,447,500
83,97,84,99,94,457,457,500
97,88,96,96,89,466,466,500
86,80,82,91,93,432,432,500
89,81,81,88,91,430,430,500
86,94,97,89,85,451,451,500
84,95,86,93,98,456,456,500
88,96,97,82,88,451,451,500
93,89,95,84,93,454,454,500
89,88,85,83,92,437,437,500
82,80,85,90,88,425,425,500
93,89,97,81,93,453,453,500
82,94,88,82,84,430,430,500
80,89,87,83,82,421,421,500
99,98,89,88,81,455,455,500
99,96,91,97,99,482,482,500
84,96,99,88,97,464,464,500
80,85,99,86,84,434,434,500
98,88,92,80,89,447,447,500
85,80,98,97,98,458,458,500
98,99,94,82,84,457,457,500
99,99,99,91,87,475,475,500
86,95,90,92,81,444,444,500
84,83,95,89,96,447,447,500
82,85,84,90,92,433,433,500
81,82,96,94,97,450,450,500
88,85,87,82,86,428,428,500
88,97,85,99,96,465,465,500
92,80,85,82,97,436,436,500
84,88,84,94,85,435,435,500
96,87,96,99,90,468,468,500
97,93,89,92,87,458,458,500
80,96,89,99,80,444,444,500
87,98,94,86,82,447,447,500
99,94,92,97,91,473,473,500
84,90,81,81,95,431,431,500
93,86,90,95,97,461,461,500
80,84,87,95,85,431,431,500
94,84,81,94,92,445,445,500
81,97,83,98,95,454,454,500
88,82,94,89,96,449,449,500
90,98,83,92,81,444,444,500
80,88,82,91,91,432,432,500
88,96,90,98,89,461,461,500
87,84,92,95,84,442,442,500
86,96,82,96,84,444,444,500
83,88,85,95,86,437,437,500
97,87,98,81,95,458,458,500
85,91,88,81,94,439,439,500
85,89,93,90,87,444,444,500
84,80,84,80,99,427,427,500
94,84,98,92,99,467,467,500
97,86,81,91,97,452,452,500
85,91,92,96,93,457,457,500
95,92,84,89,81,441,441,500
93,82,81,93,80,429,429,500
83,97,89,87,95,451,451,500
98,91,88,92,91,460,460,500
89,98,83,99,84,453,453,500
89,95,86,88,91,449,449,500
91,98,83,91,99,462,462,500
97,89,91,80,89,446,446,500
86,82,80,93,95,436,436,500
99,81,83,95,86,444,444,500
83,91,91,99,96,460,460,500
94,90,94,83,83,444,444,500
81,80,97,89,86,433,433,500
85,91,95,85,98,454,454,500
87,95,85,92,90,449,449,500
95,80,84,96,88,443,443,500
86,96,86,93,95,456,456,500
87,98,96,87,99,467,467,500
92,85,91,89,81,438,438,500
94,89,94,85,87,449,449,500
87,84,84,92,80,427,427,500
90,99,86,92,97,464,464,500
96,91,95,83,92,457,457,500
89,96,95,90,89,459,459,500
82,81,86,80,83,412,412,500
98,90,93,95,81,457,457,500
88,94,99,84,87,452,452,500
88,99,89,81,94,451,451,500
85,82,93,85,85,430,430,500
97,84,91,86,86,444,444,500
91,92,82,85,93,443,443,500
83,83,96,96,86,444,444,500
82,80,95,93,93,443,443,500
92,80,91,93,84,440,440,500
97,90,99,95,94,475,475,500
82,89,88,91,98,448,448,500
84,94,88,92,95,453,453,500
87,91,84,80,97,439,439,500
91,82,86,93,87,439,439,500
93,80,95,86,97,451,451,500
92,99,97,90,80,458,458,500
85,89,85,90,82,431,431,500
98,80,86,84,99,447,447,500
84,81,94,82,89,430,430,500
94,85,94,95,90,458,458,500
80,81,82,93,83,419,419,500
85,91,95,86,94,451,451,500
91,86,99,91,89,456,456,500
87,80,86,93,81,427,427,500
87,87,88,85,90,437,437,500
87,81,80,90,81,419,419,500
94,82,85,87,91,439,439,500
90,89,89,90,83,441,441,500
89,89,95,80,99,452,452,500
83,87,82,93,89,434,434,500
84,99,98,86,96,463,463,500
82,97,81,98,87,445,445,500
82,90,94,88,93,447,447,500
81,89,85,89,92,436,436,500
99,87,85,87,84,442,442,500
99,96,94,99,80,468,468,500
99,94,96,93,83,465,465,500
89,95,91,84,86,445,445,500
90,84,89,81,82,426,426,500
96,89,90,97,99,471,471,500
87,82,96,95,87,447,447,500
81,91,82,97,98,449,449,500
91,92,88,96,97,464,464,500
82,85,84,98,90,439,439,500
94,94,88,81,87,444,444,500
99,90,93,85,86,453,453,500
92,96,96,81,92,457,457,500
85,87,93,85,94,444,444,500
97,80,80,87,85,429,429,500
88,99,84,88,94,453,453,500
92,95,95,88,83,453,453,500
91,98,83,97,90,459,459,500
80,96,80,87,97,440,440,500
99,98,91,86,90,464,464,500
92,81,83,81,90,427,427,500
